"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"J.K. Dobbins","RB","DEN","40","26","35","36","39","","","","","","","","","","","","","","176","35.2"
"Austin Hooper","TE","NE","23","37","48","32","34","","","","","","","","","","","","","","174","34.8"
"D'Andre Swift","RB","CHI","54","39","36","45","bye","","","","","","","","","","","","","","174","43.5"
"Isiah Pacheco","RB","KC","31","35","40","27","40","","","","","","","","","","","","","","173","34.6"
"Xavier Legette","WR","CAR","50","68","0","0","55","","","","","","","","","","","","","","173","57.7"
"Adam Trautman","TE","DEN","44","36","19","42","31","","","","","","","","","","","","","","172","34.4"
"Rhamondre Stevenson","RB","NE","46","39","27","28","31","","","","","","","","","","","","","","171","34.2"
"Stefon Diggs","WR","NE","40","31","39","31","30","","","","","","","","","","","","","","171","34.2"
"Dalton Kincaid","TE","BUF","43","36","33","22","37","","","","","","","","","","","","","","171","34.2"
"Isaiah Bond","WR","CLE","21","28","43","37","40","","","","","","","","","","","","","","169","33.8"
"Calvin Austin III","WR","PIT","45","57","39","27","bye","","","","","","","","","","","","","","168","42.0"
"Dontayvion Wicks","WR","GB","22","37","44","64","bye","","","","","","","","","","","","","","167","41.8"
"Joshua Palmer","WR","BUF","53","38","26","15","35","","","","","","","","","","","","","","167","33.4"
"Josh Reynolds","WR","NYJ","62","0","0","42","61","","","","","","","","","","","","","","165","55.0"
"Dyami Brown","WR","JAC","47","57","23","0","38","","","","","","","","","","","","","","165","41.3"
"Mike Evans","WR","TB","48","63","52","0","0","","","","","","","","","","","","","","163","54.3"
"Brock Wright","TE","DET","24","31","38","24","45","","","","","","","","","","","","","","162","32.4"
"Julian Hill","TE","MIA","28","29","34","40","29","","","","","","","","","","","","","","160","32.0"
"Jauan Jennings","WR","SF","50","62","0","48","0","","","","","","","","","","","","","","160","53.3"
"Matthew Golden","WR","GB","23","40","46","49","bye","","","","","","","","","","","","","","158","39.5"
"Tyler Higbee","TE","LAR","35","46","36","41","0","","","","","","","","","","","","","","158","39.5"
"Arian Smith","WR","NYJ","6","22","54","29","46","","","","","","","","","","","","","","157","31.4"
"Parker Washington","WR","JAC","17","17","50","58","15","","","","","","","","","","","","","","157","31.4"
"Malik Washington","WR","MIA","28","35","33","28","32","","","","","","","","","","","","","","156","31.2"
"Tyler Lockett","WR","TEN","33","32","38","36","17","","","","","","","","","","","","","","156","31.2"
"Tyreek Hill","WR","MIA","30","48","53","24","0","","","","","","","","","","","","","","155","38.8"
"Alec Pierce","WR","IND","58","64","31","0","0","","","","","","","","","","","","","","153","51.0"
"Terry McLaurin","WR","WAS","55","63","35","0","0","","","","","","","","","","","","","","153","51.0"
"Jaxson Dart","QB","NYG","0","3","3","74","73","","","","","","","","","","","","","","153","38.3"
"Drew Sample","TE","CIN","36","28","38","22","27","","","","","","","","","","","","","","151","30.2"
"Jayden Higgins","WR","HOU","27","21","28","31","39","","","","","","","","","","","","","","146","29.2"
"Charlie Woerner","TE","ATL","32","56","14","44","bye","","","","","","","","","","","","","","146","36.5"
"CeeDee Lamb","WR","DAL","56","82","7","0","0","","","","","","","","","","","","","","145","48.3"
